7: impossible
35: [3, 11]
400: [1, 39]
400: [31, 49]
400: [43, 57]
400: [97, 103]
400: [199, 201]
1: impossible
2: impossible
3: impossible
4: [1, 3]
5: impossible
6: impossible
10: impossible
100: [1, 19]
100: [49, 51]
1000: [31, 69]
1000: [91, 109]
1000: [247, 253]
1000: [499, 501]
10000: [1, 199]
10000: [151, 249]
10000: [211, 289]
10000: [481, 519]
10000: [991, 1009]
10000: [1243, 1257]
10000: [2497, 2503]
10000: [4999, 5001]
100000: [151, 649]
100000: [301, 699]
100000: [901, 1099]
100000: [1171, 1329]
100000: [1951, 2049]
100000: [2461, 2539]
100000: [4981, 5019]
100000: [6235, 6265]
100000: [9991, 10009]
100000: [12493, 12507]
100000: [24997, 25003]
100000: [49999, 50001]
1000000: [1, 1999]
1000000: [451, 2049]
1000000: [1501, 2499]
1000000: [2101, 2899]
1000000: [3751, 4249]
1000000: [4801, 5199]
1000000: [6091, 6409]
1000000: [9901, 10099]
1000000: [12421, 12579]
1000000: [19951, 20049]
1000000: [24961, 25039]
1000000: [31219, 31281]
1000000: [49981, 50019]
1000000: [62485, 62515]
1000000: [99991, 100009]
1000000: [124993, 125007]
1000000: [249997, 250003]
1000000: [499999, 500001]
10000000: [1501, 6499]
10000000: [3001, 6999]
10000000: [4651, 7849]
10000000: [6751, 9249]
10000000: [9001, 10999]
10000000: [11701, 13299]
10000000: [19501, 20499]
10000000: [24601, 25399]
10000000: [30931, 31569]
10000000: [39751, 40249]
10000000: [49801, 50199]
10000000: [62341, 62659]
10000000: [99901, 100099]
10000000: [124921, 125079]
10000000: [156187, 156313]
10000000: [199951, 200049]
10000000: [249961, 250039]
10000000: [312469, 312531]
10000000: [499981, 500019]
10000000: [624985, 625015]
10000000: [999991, 1000009]
10000000: [1249993, 1250007]
10000000: [2499997, 2500003]
10000000: [4999999, 5000001]
100000000: [1, 19999]
100000000: [4501, 20499]
100000000: [9751, 22249]
100000000: [15001, 24999]
100000000: [21001, 28999]
100000000: [28051, 34449]
100000000: [37501, 42499]
100000000: [48001, 51999]
100000000: [60901, 64099]
100000000: [78751, 81249]
100000000: [99001, 100999]
100000000: [124201, 125799]
100000000: [155611, 156889]
100000000: [199501, 200499]
100000000: [249601, 250399]
100000000: [312181, 312819]
100000000: [399751, 400249]
100000000: [499801, 500199]
100000000: [624841, 625159]
100000000: [781123, 781377]
100000000: [999901, 1000099]
100000000: [1249921, 1250079]
100000000: [1562437, 1562563]
100000000: [1999951, 2000049]
100000000: [2499961, 2500039]
100000000: [3124969, 3125031]
100000000: [4999981, 5000019]
100000000: [6249985, 6250015]
100000000: [9999991, 10000009]
100000000: [12499993, 12500007]
100000000: [24999997, 25000003]
100000000: [49999999, 50000001]
1000000000: [751, 63249]
1000000000: [15001, 64999]
1000000000: [30001, 69999]
1000000000: [46501, 78499]
1000000000: [67501, 92499]
1000000000: [90001, 109999]
1000000000: [117001, 132999]
1000000000: [149851, 162649]
1000000000: [153751, 166249]
1000000000: [195001, 204999]
1000000000: [246001, 253999]
1000000000: [309301, 315699]
1000000000: [397501, 402499]
1000000000: [498001, 501999]
1000000000: [623401, 626599]
1000000000: [779971, 782529]
1000000000: [798751, 801249]
1000000000: [999001, 1000999]
1000000000: [1249201, 1250799]
1000000000: [1561861, 1563139]
1000000000: [1999501, 2000499]
1000000000: [2499601, 2500399]
1000000000: [3124681, 3125319]
1000000000: [3905995, 3906505]
1000000000: [3999751, 4000249]
1000000000: [4999801, 5000199]
1000000000: [6249841, 6250159]
