37th Annual UCF High School Programming Tournament
March 13, 2023
Final Standings

Rank	Team Name	Problems Solved	Penalty Points	princess	stronghold	jail	dice	eyesore	hex	spy	chameleon	coin	cake	horror	uhc
1	Atlantic Community High School #1	10	1383	0 ....	1 ....	2 1:10	5 3:56	2 2:41	6 3:54	1 1:24	3 0:38	4 0:34	1 0:25	1 0:08	1 2:53
2	Doral Academy #1	9	605	0 ....	6 ....	1 0:46	4 3:44	0 ....	2 1:34	1 0:57	1 0:14	1 0:12	1 0:33	1 0:05	1 0:40
3	Timber Creek High School #1	9	650	2 ....	3 3:53	1 1:32	2 ....	0 ....	1 0:57	1 0:47	1 0:04	2 0:16	2 0:48	1 0:08	1 1:05
4	Trinity Preparatory School #2	9	823	2 ....	2 ....	1 1:13	0 ....	2 3:52	4 2:40	3 1:46	1 0:11	1 0:05	1 0:44	1 0:17	1 0:55
5	American Heritage School Broward Campus #2	9	890	0 ....	7 ....	1 1:54	0 ....	1 3:04	3 2:02	1 1:21	1 0:15	3 0:43	1 0:27	1 0:09	1 3:35
6	Suncoast High School #2	9	976	1 ....	3 ....	5 3:22	1 ....	2 3:43	2 2:18	2 1:58	1 0:08	3 0:54	1 0:19	1 0:02	1 0:32
7	Doral Academy #2	9	1258	0 ....	1 1:25	5 3:36	1 ....	0 ....	4 3:54	3 2:38	1 0:47	3 1:12	1 0:11	1 0:04	1 3:31
8	Pine Crest School #1	8	597	0 ....	3 ....	1 1:51	0 ....	0 ....	2 0:55	1 1:11	1 0:15	2 0:50	1 0:27	1 0:19	1 3:29
9	Doral Academy #3	8	628	0 ....	3 ....	1 1:37	0 ....	0 ....	6 3:13	1 0:41	1 0:04	2 1:23	1 0:23	1 0:08	1 0:59
10	American Heritage School Broward Campus #4	8	661	0 ....	6 ....	3 2:27	0 ....	0 ....	2 1:42	2 1:28	1 0:11	2 1:26	1 0:35	1 0:21	1 1:11
11	American Heritage School Broward Campus #1	8	684	0 ....	3 ....	3 2:04	0 ....	0 ....	4 2:59	1 1:22	1 0:11	1 0:40	2 1:14	1 0:07	1 0:47
12	Timber Creek High School #5	8	843	0 ....	0 ....	1 0:57	0 ....	0 ....	3 2:45	1 1:58	1 0:05	5 2:58	1 0:35	1 0:10	1 2:35
13	The First Academy #1	8	921	0 ....	0 ....	1 1:31	0 ....	0 ....	4 1:41	1 2:20	1 0:03	4 3:27	1 0:18	1 0:10	1 3:51
14	Pine Crest School #5	8	986	0 ....	0 ....	2 1:47	6 ....	0 ....	3 2:39	2 3:57	1 0:16	3 2:49	1 0:38	1 0:12	1 2:08
15	Freedom High School #2	7	428	2 ....	0 ....	1 1:39	1 ....	0 ....	5 ....	1 0:29	1 0:06	4 2:47	1 0:15	1 0:08	1 0:44
